year,la_code,la_name,la_simd_mean,la_simd_rank,la_simd_income_mean,la_simd_income_rank,la_simd_employ_mean,la_simd_employ_rank,la_simd_edu_mean,la_simd_edu_rank,la_simd_health_mean,la_simd_health_rank,la_simd_access_mean,la_simd_access_rank,la_simd_crime_mean,la_simd_crime_rank,la_simd_housing_mean,la_simd_housing_rank,la_pop_total,la_pop_total_rank,la_workpop_total,la_workpop_total_rank
2012,S12000020,Moray,3877.594827586207,24,3803.206896551724,23,3965.1206896551726,24,3721.060344827586,23,4221.267241379311,29,2740.7413793103447,10,3533.344827586207,19,4124.577586206897,25,87720,26,53212,25
2012,S12000021,North Ayrshire,2466.424581005587,5,2408.150837988827,4,2429.223463687151,6,2869.3575418994415,7,2284.117318435754,4,3304.4469273743016,24,2670.3575418994415,4,3698.8268156424583,15,135180,15,81545,15
2012,S12000050,North Lanarkshire,2373.193779904306,4,2451.590909090909,5,2306.7392344497607,4,2341.4856459330144,2,2388.409090909091,6,2938.406698564593,16,2782.1483253588517,6,2760.401913875598,6,326360,4,205649,4
2012,S12000023,Orkney Islands,3933.074074074074,25,4421.814814814815,28,4603.481481481482,30,3649.6296296296296,19,4062.8518518518517,26,1690.148148148148,3,4621.148148148148,31,2904.5555555555557,7,20110,32,12102,32
2012,S12000048,Perth and Kinross,4087.64,28,4156.834285714286,26,4264.228571428572,27,3895.6057142857144,28,3994.2628571428572,24,2444.9085714285716,8,4381.542857142857,29,3937.6628571428573,20,147780,13,89499,13
2012,S12000038,Renfrewshire,3002.4345794392525,10,3066.6355140186915,11,2852.7897196261683,9,3349.0233644859813,14,2698.766355140187,9,3204.644859813084,23,3139.1168224299067,11,3009.0280373831774,8,170250,10,107137,10
2012,S12000026,Scottish Borders,3625.8384615384616,20,3692.523076923077,22,3795.5461538461536,23,3664.5846153846155,21,3239.5153846153844,13,2884.492307692308,14,4310.776923076923,27,3963.8846153846152,21,112870,17,66522,17
2012,S12000027,Shetland Islands,3993.5333333333333,26,4676.4,31,4748.9,31,4164.266666666666,30,4158.633333333333,27,1371.6666666666667,2,4645.833333333333,32,3923.366666666667,19,22400,31,13787,31
2012,S12000028,South Ayrshire,3226.0340136054424,14,3247.9319727891157,15,3202.3673469387754,14,3405.9727891156463,15,2812.1156462585036,10,3058.904761904762,19,3515.2585034013605,17,4152.578231292517,28,111440,18,66165,18
2012,S12000029,South Lanarkshire,3092.2060301507536,11,3030.3391959798996,10,2923.3216080402012,10,3113.288944723618,9,3200.713567839196,12,3314.0527638190956,26,3197.640703517588,12,3375.5628140703516,11,311880,5,194957,5
2012,S12000030,Stirling,3749.309090909091,22,3863.7272727272725,24,3760.190909090909,22,3665.6181818181817,22,3913.0272727272727,22,2821.2909090909093,12,3519.890909090909,18,4146.909090909091,27,89850,23,55827,23
2012,S12000039,West Dunbartonshire,2179.398305084746,2,2129.1271186440677,2,2138.491525423729,2,2589.728813559322,4,2299.1525423728813,5,2918.322033898305,15,2335.9322033898306,2,2274.8050847457625,3,90570,22,57120,22
2012,S12000040,West Lothian,3147.687203791469,12,3182.1137440758293,14,3158.2843601895734,13,3272.1990521327016,13,2661.8909952606637,8,3074.260663507109,21,3360.3744075829386,15,4014.274881516588,23,172080,9,109516,9
