la_code,la_name,date_code,measurement,units,value,type_of_tenure,household_type,age,gender,limiting_long_term_physical_or_mental_health_condition
S12000035,Argyll and Bute,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,26.39,All,All,35-64 years,All,All
S12000021,North Ayrshire,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,23.73,All,All,35-64 years,All,All
S12000023,Orkney Islands,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.24,All,All,16-34 years,All,All
S12000021,North Ayrshire,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.15,All,All,65 years and over,All,All
S12000027,Shetland Islands,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.82,All,All,16-34 years,All,All
S12000027,Shetland Islands,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.37,All,All,35-64 years,All,All
S12000023,Orkney Islands,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,27.13,All,All,65 years and over,All,All
S12000026,Scottish Borders,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.61,All,All,16-34 years,All,All
S12000023,Orkney Islands,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.58,All,All,35-64 years,All,All
S12000019,Midlothian,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.7,All,All,35-64 years,All,All
S12000018,Inverclyde,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.15,All,All,16-34 years,All,All
S12000018,Inverclyde,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.44,All,All,65 years and over,All,All
S12000020,Moray,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.44,All,All,65 years and over,All,All
S12000018,Inverclyde,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.48,All,All,35-64 years,All,All
S12000026,Scottish Borders,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.24,All,All,35-64 years,All,All
S12000027,Shetland Islands,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,26.43,All,All,65 years and over,All,All
S12000019,Midlothian,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.28,All,All,16-34 years,All,All
S12000026,Scottish Borders,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.67,All,All,65 years and over,All,All
S12000005,Clackmannanshire,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.64,Owned Outright,All,All,All,All
S12000005,Clackmannanshire,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.59,Rented,All,All,All,All
S12000005,Clackmannanshire,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.6,Owned Mortgage/Loan,All,All,All,All
S12000048,Perth and Kinross,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.19,All,All,All,All,All
S12000047,Fife,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.45,All,All,All,All,All
S12000013,Na h-Eileanan Siar,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.04,Owned Mortgage/Loan,All,All,All,All
S12000014,Falkirk,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.28,Owned Outright,All,All,All,All
S12000013,Na h-Eileanan Siar,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.55,Rented,All,All,All,All
S12000013,Na h-Eileanan Siar,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.89,Owned Outright,All,All,All,All
S12000011,East Renfrewshire,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.36,Rented,All,All,All,All
S12000020,Moray,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,27.03,Owned Mortgage/Loan,All,All,All,All
S12000021,North Ayrshire,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.94,Owned Outright,All,All,All,All
S12000020,Moray,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.67,Rented,All,All,All,All
S12000020,Moray,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.11,Owned Outright,All,All,All,All
S12000019,Midlothian,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,23.65,Rented,All,All,All,All
S12000006,Dumfries and Galloway,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.53,Rented,All,All,All,All
S12000008,East Ayrshire,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.92,Owned Mortgage/Loan,All,All,All,All
S12000008,East Ayrshire,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.01,Owned Outright,All,All,All,All
S12000006,Dumfries and Galloway,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,26.4,Owned Mortgage/Loan,All,All,All,All
S12000006,Dumfries and Galloway,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.38,Owned Outright,All,All,All,All
S12000036,City of Edinburgh,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.7,Owned Mortgage/Loan,All,All,All,All
S12000035,Argyll and Bute,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,27.49,Owned Outright,All,All,All,All
S12000035,Argyll and Bute,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.84,Rented,All,All,All,All
S12000038,Renfrewshire,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,23.29,Rented,All,All,All,All
S12000035,Argyll and Bute,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,26.53,Owned Mortgage/Loan,All,All,All,All
S12000042,Dundee City,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,23.67,Rented,All,All,All,All
S12000041,Angus,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.63,Owned Mortgage/Loan,All,All,All,All
S12000042,Dundee City,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.42,Owned Outright,All,All,All,All
S12000036,City of Edinburgh,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.62,Owned Outright,All,All,All,All
S12000041,Angus,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.51,Rented,All,All,All,All
S12000011,East Renfrewshire,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,26.09,Owned Mortgage/Loan,All,All,All,All
S12000010,East Lothian,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.93,Owned Outright,All,All,All,All
S12000010,East Lothian,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,23.74,Rented,All,All,All,All
S12000010,East Lothian,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.27,Owned Mortgage/Loan,All,All,All,All
S12000008,East Ayrshire,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,23.03,Rented,All,All,All,All
S12000039,West Dunbartonshire,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,26.5,Owned Outright,All,All,All,All
S12000036,City of Edinburgh,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.43,Rented,All,All,All,All
S12000038,Renfrewshire,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.52,Owned Mortgage/Loan,All,All,All,All
S12000011,East Renfrewshire,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.3,Owned Outright,All,All,All,All
S12000038,Renfrewshire,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.06,Owned Outright,All,All,All,All
S12000029,South Lanarkshire,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.6,All,With Children,All,All,All
S12000021,North Ayrshire,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.06,All,Pensioners,All,All,All
S12000029,South Lanarkshire,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.14,All,Adults,All,All,All
S12000023,Orkney Islands,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.79,All,Adults,All,All,All
S12000021,North Ayrshire,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.19,All,With Children,All,All,All
S12000027,Shetland Islands,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,26.59,All,Pensioners,All,All,All
S12000030,Stirling,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.75,All,Adults,All,All,All
S12000027,Shetland Islands,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.79,All,Adults,All,All,All
S12000030,Stirling,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.49,All,With Children,All,All,All
S12000029,South Lanarkshire,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.09,All,Pensioners,All,All,All
S12000023,Orkney Islands,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,26.62,All,Pensioners,All,All,All
S12000038,Renfrewshire,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.07,All,Adults,All,All,All
S12000023,Orkney Islands,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,26.2,All,With Children,All,All,All
S12000038,Renfrewshire,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.09,All,With Children,All,All,All
S12000036,City of Edinburgh,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.57,All,Pensioners,All,All,All
S12000021,North Ayrshire,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,23.71,All,Adults,All,All,All
S12000026,Scottish Borders,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.41,All,With Children,All,All,All
S12000020,Moray,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.11,All,Pensioners,All,All,All
S12000026,Scottish Borders,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.67,All,Pensioners,All,All,All
S12000026,Scottish Borders,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.4,All,Adults,All,All,All
S12000017,Highland,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.35,Owned Outright,All,All,All,All
S12000017,Highland,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,23.48,Rented,All,All,All,All
S12000017,Highland,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.85,Owned Mortgage/Loan,All,All,All,All
S12000014,Falkirk,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,23.79,Rented,All,All,All,All
S12000014,Falkirk,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.05,Owned Mortgage/Loan,All,All,All,All
S12000023,Orkney Islands,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,26.17,Owned Outright,All,All,All,All
S12000023,Orkney Islands,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.06,Rented,All,All,All,All
S12000023,Orkney Islands,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,26.24,Owned Mortgage/Loan,All,All,All,All
S12000021,North Ayrshire,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,23.17,Rented,All,All,All,All
S12000021,North Ayrshire,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.71,Owned Mortgage/Loan,All,All,All,All
S12000028,South Ayrshire,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.5,All,With Children,All,All,All
S12000028,South Ayrshire,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.76,All,Adults,All,All,All
S12000018,Inverclyde,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.75,Owned Mortgage/Loan,All,All,All,All
S12000027,Shetland Islands,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,26.12,All,With Children,All,All,All
S12000028,South Ayrshire,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.78,All,Pensioners,All,All,All
S12000018,Inverclyde,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,23.27,Rented,All,All,All,All
S12000019,Midlothian,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,26.34,Owned Outright,All,All,All,All
S12000018,Inverclyde,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.31,Owned Outright,All,All,All,All
S12000019,Midlothian,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.8,Owned Mortgage/Loan,All,All,All,All
S12000040,West Lothian,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.35,All,All,65 years and over,All,All
S12000040,West Lothian,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.98,All,All,35-64 years,All,All
S12000038,Renfrewshire,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,23.96,All,All,35-64 years,All,All
S12000039,West Dunbartonshire,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.91,All,All,65 years and over,All,All
S12000041,Angus,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.06,All,All,16-34 years,All,All
S12000039,West Dunbartonshire,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,26,All,All,16-34 years,All,All
S12000038,Renfrewshire,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.44,All,All,65 years and over,All,All
S12000045,East Dunbartonshire,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.63,All,All,65 years and over,All,All
S12000038,Renfrewshire,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.09,All,All,16-34 years,All,All
S12000039,West Dunbartonshire,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.91,All,All,35-64 years,All,All
S12000017,Highland,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.06,All,All,All,Female,All
S12000017,Highland,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.79,All,All,All,Male,All
S12000011,East Renfrewshire,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.46,All,All,All,Male,All
S12000014,Falkirk,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.91,All,All,All,Male,All
S12000018,Inverclyde,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.12,All,All,All,Male,All
S12000013,Na h-Eileanan Siar,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.92,All,All,All,Male,All
S12000011,East Renfrewshire,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.45,All,All,All,Female,All
S12000040,West Lothian,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.74,All,All,16-34 years,All,All
S12000010,East Lothian,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.4,All,All,All,Female,All
S12000013,Na h-Eileanan Siar,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.45,All,All,All,Female,All
S12000039,West Dunbartonshire,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.63,All,All,All,Female,All
S12000036,City of Edinburgh,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.56,All,All,All,Female,All
S12000038,Renfrewshire,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.19,All,All,All,Female,All
S12000042,Dundee City,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.02,All,All,65 years and over,All,All
S12000038,Renfrewshire,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.27,All,All,All,Male,All
S12000036,City of Edinburgh,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.46,All,All,All,Male,All
S12000034,Aberdeenshire,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.65,All,All,All,Male,All
S12000035,Argyll and Bute,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,26.45,All,All,All,Male,All
S12000039,West Dunbartonshire,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,26.01,All,All,All,Male,All
S12000034,Aberdeenshire,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.62,All,All,All,Female,All
S12000047,Fife,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.62,All,All,35-64 years,All,All
S12000047,Fife,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.44,All,All,16-34 years,All,All
S12000042,Dundee City,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.58,All,All,16-34 years,All,All
S12000045,East Dunbartonshire,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.13,All,All,35-64 years,All,All
S12000047,Fife,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.02,All,All,65 years and over,All,All
S12000045,East Dunbartonshire,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.43,All,All,16-34 years,All,All
S12000042,Dundee City,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.44,All,All,35-64 years,All,All
S12000041,Angus,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.95,All,All,35-64 years,All,All
S12000041,Angus,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.54,All,All,65 years and over,All,All
S12000026,Scottish Borders,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.17,Owned Outright,All,All,All,All
S12000026,Scottish Borders,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.68,Owned Mortgage/Loan,All,All,All,All
S12000027,Shetland Islands,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.1,Owned Mortgage/Loan,All,All,All,All
S12000028,South Ayrshire,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.78,Owned Mortgage/Loan,All,All,All,All
S12000028,South Ayrshire,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,23.89,Rented,All,All,All,All
S12000033,Aberdeen City,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.76,Owned Mortgage/Loan,All,All,All,All
S12000033,Aberdeen City,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.69,Rented,All,All,All,All
S12000034,Aberdeenshire,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.8,Rented,All,All,All,All
S12000026,Scottish Borders,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.69,Rented,All,All,All,All
S12000027,Shetland Islands,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,26.31,Owned Outright,All,All,All,All
S12000039,West Dunbartonshire,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.24,Rented,All,All,All,All
S12000039,West Dunbartonshire,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,26.32,Owned Mortgage/Loan,All,All,All,All
S12000041,Angus,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.41,Owned Outright,All,All,All,All
S12000042,Dundee City,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.92,Owned Mortgage/Loan,All,All,All,All
S12000040,West Lothian,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.93,Owned Outright,All,All,All,All
S12000027,Shetland Islands,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.58,Rented,All,All,All,All
S12000028,South Ayrshire,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.03,Owned Outright,All,All,All,All
S12000029,South Lanarkshire,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.73,Owned Outright,All,All,All,All
S12000040,West Lothian,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.57,Owned Mortgage/Loan,All,All,All,All
S12000040,West Lothian,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,23.79,Rented,All,All,All,All
S12000008,East Ayrshire,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,23.63,All,All,All,Female,All
S12000008,East Ayrshire,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.78,All,All,All,Male,All
S12000048,Perth and Kinross,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.68,All,All,35-64 years,All,All
S12000006,Dumfries and Galloway,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.24,All,All,All,Male,All
S12000010,East Lothian,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.78,All,All,All,Male,All
S12000005,Clackmannanshire,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.91,All,All,All,Male,All
S12000048,Perth and Kinross,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.76,All,All,65 years and over,All,All
S12000014,Falkirk,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.33,All,All,All,Female,All
S12000048,Perth and Kinross,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,23.71,All,All,16-34 years,All,All
S12000005,Clackmannanshire,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.37,All,All,All,Female,All
S12000029,South Lanarkshire,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.53,Owned Mortgage/Loan,All,All,All,All
S12000030,Stirling,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.59,Owned Outright,All,All,All,All
S12000029,South Lanarkshire,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.33,Rented,All,All,All,All
S12000034,Aberdeenshire,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.97,Owned Outright,All,All,All,All
S12000034,Aberdeenshire,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,26.19,Owned Mortgage/Loan,All,All,All,All
S12000030,Stirling,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.98,Rented,All,All,All,All
S12000006,Dumfries and Galloway,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.24,All,All,All,Female,All
S12000033,Aberdeen City,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.94,Owned Outright,All,All,All,All
S12000030,Stirling,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.88,Owned Mortgage/Loan,All,All,All,All
S12000030,Stirling,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.84,All,All,All,All,All
S12000034,Aberdeenshire,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.5,All,All,All,All,All
S12000033,Aberdeen City,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.88,All,All,All,All,All
S12000041,Angus,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.84,All,All,All,All,All
S12000042,Dundee City,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.33,All,All,All,All,All
S12000010,East Lothian,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.43,All,All,All,All,All
S12000036,City of Edinburgh,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.42,All,All,All,All,All
S12000008,East Ayrshire,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.04,All,All,All,All,All
S12000038,Renfrewshire,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.08,All,All,All,All,All
S12000035,Argyll and Bute,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,26.35,All,All,All,All,All
S12000017,Highland,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.8,All,All,All,All,All
S12000018,Inverclyde,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.07,All,All,All,All,All
S12000021,North Ayrshire,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,23.95,All,All,All,All,All
S12000027,Shetland Islands,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.34,All,All,All,All,All
S12000028,South Ayrshire,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.66,All,All,All,All,All
S12000039,West Dunbartonshire,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.07,All,All,All,All,All
S12000040,West Lothian,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.71,All,All,All,All,All
S12000045,East Dunbartonshire,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.01,All,All,All,All,All
S12000019,Midlothian,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.63,All,All,All,All,All
S12000020,Moray,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.12,All,All,All,All,All
S12000006,Dumfries and Galloway,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.06,All,All,All,All,All
S12000013,Na h-Eileanan Siar,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.47,All,All,All,All,All
S12000005,Clackmannanshire,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.89,All,All,All,All,All
S12000014,Falkirk,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.44,All,All,All,All,All
S12000011,East Renfrewshire,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.21,All,All,All,All,All
S12000013,Na h-Eileanan Siar,2015,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.84,Owned Mortgage/Loan,All,All,All,All
S12000014,Falkirk,2015,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.94,Owned Outright,All,All,All,All
S12000013,Na h-Eileanan Siar,2015,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.06,Rented,All,All,All,All
S12000013,Na h-Eileanan Siar,2015,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.56,Owned Outright,All,All,All,All
S12000011,East Renfrewshire,2015,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.8,Rented,All,All,All,All
S12000010,East Lothian,2015,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.86,Rented,All,All,All,All
S12000011,East Renfrewshire,2015,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.21,Owned Mortgage/Loan,All,All,All,All
S12000011,East Renfrewshire,2015,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.68,Owned Outright,All,All,All,All
S12000010,East Lothian,2015,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,27.06,Owned Mortgage/Loan,All,All,All,All
S12000010,East Lothian,2015,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.83,Owned Outright,All,All,All,All
S12000028,South Ayrshire,2015,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.32,Rented,All,All,All,All
S12000029,South Lanarkshire,2015,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.3,Owned Mortgage/Loan,All,All,All,All
S12000029,South Lanarkshire,2015,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.71,Owned Outright,All,All,All,All
S12000028,South Ayrshire,2015,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25,Owned Mortgage/Loan,All,All,All,All
S12000028,South Ayrshire,2015,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.02,Owned Outright,All,All,All,All
S12000027,Shetland Islands,2015,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,26.16,Owned Outright,All,All,All,All
S12000027,Shetland Islands,2015,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.46,Rented,All,All,All,All
S12000027,Shetland Islands,2015,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,26.89,Owned Mortgage/Loan,All,All,All,All
S12000026,Scottish Borders,2015,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.76,Rented,All,All,All,All
S12000026,Scottish Borders,2015,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,26.27,Owned Mortgage/Loan,All,All,All,All
S12000041,Angus,2015,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.03,Owned Mortgage/Loan,All,All,All,All
S12000041,Angus,2015,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.91,Rented,All,All,All,All
