Generated by http://statistics.gov.scot,2021-01-24T15:50:43+00:00
http://statistics.gov.scot/data/hospital-admissions,Hospital Admissions
measure type,Count
Admission Type,Cancer
Age,All
Gender,All
Measure (cell values): ,Count(Admissions)

,,http://reference.data.gov.uk/id/year/2002,http://reference.data.gov.uk/id/year/2003,http://reference.data.gov.uk/id/year/2004,http://reference.data.gov.uk/id/year/2005,http://reference.data.gov.uk/id/year/2006,http://reference.data.gov.uk/id/year/2007,http://reference.data.gov.uk/id/year/2008,http://reference.data.gov.uk/id/year/2009,http://reference.data.gov.uk/id/year/2010,http://reference.data.gov.uk/id/year/2011,http://reference.data.gov.uk/id/year/2012
http://statistics.gov.scot/id/statistical-geography/S16000131,"Midlothian South, Tweeddale and Lauderdale",2150,1846,2183,2239,1958,2326,2644,"","","",2243
http://statistics.gov.scot/id/statistical-geography/S16000132,Moray,1624,1599,1676,1591,1589,1652,1406,"","","",1930
http://statistics.gov.scot/id/statistical-geography/S16000133,Motherwell and Wishaw,2089,1808,1943,2193,2169,1891,2033,"","","",2246
http://statistics.gov.scot/id/statistical-geography/S16000110,Na h-Eileanan an Iar,590,580,498,635,603,824,742,"","","",593
http://statistics.gov.scot/id/statistical-geography/S16000134,North East Fife,1681,1690,1701,1700,1839,1600,1784,"","","",1373
http://statistics.gov.scot/id/statistical-geography/S16000135,Orkney Islands,503,579,493,570,607,635,525,"","","",573
http://statistics.gov.scot/id/statistical-geography/S16000136,Paisley,1946,1992,1810,2252,2162,2052,1757,"","","",2261
http://statistics.gov.scot/id/statistical-geography/S16000137,Perthshire North,1852,1968,1906,1894,1901,1770,2123,"","","",968
http://statistics.gov.scot/id/statistical-geography/S16000138,Perthshire South and Kinross-shire,1745,2036,1755,1986,1911,1926,2046,"","","",1006
http://statistics.gov.scot/id/statistical-geography/S16000139,Renfrewshire North and West,1694,1487,1697,2035,1808,1881,2310,"","","",1947
http://statistics.gov.scot/id/statistical-geography/S16000140,Renfrewshire South,1992,2085,1811,1984,1798,2029,2403,"","","",2294
http://statistics.gov.scot/id/statistical-geography/S16000141,Rutherglen,2079,1925,2220,2157,2125,2423,2400,"","","",2379
http://statistics.gov.scot/id/statistical-geography/S16000142,Shetland Islands,385,366,446,530,426,454,505,"","","",590
http://statistics.gov.scot/id/statistical-geography/S16000143,"Skye, Lochaber and Badenoch",1486,1614,1620,1837,2016,1916,2176,"","","",2190
http://statistics.gov.scot/id/statistical-geography/S16000144,Stirling,1314,1368,1303,1361,1345,1261,1275,"","","",1185
http://statistics.gov.scot/id/statistical-geography/S16000148,Strathkelvin and Bearsden,2287,2370,2711,2661,2858,2605,2467,"","","",2940
http://statistics.gov.scot/id/statistical-geography/S16000146,Uddingston and Bellshill,1902,1985,1747,2066,1779,1777,2183,"","","",1864
http://statistics.gov.scot/id/statistical-geography/S08000015,Ayrshire and Arran,"","","","","","","","","","",13414
http://statistics.gov.scot/id/statistical-geography/S08000016,Borders,"","","","","","","","","","",3615
http://statistics.gov.scot/id/statistical-geography/S08000017,Dumfries and Galloway,"","","","","","","","","","",2673
http://statistics.gov.scot/id/statistical-geography/S08000029,Fife,"","","","","","","","","","",11303
http://statistics.gov.scot/id/statistical-geography/S08000019,Forth Valley,"","","","","","","","","","",4181
http://statistics.gov.scot/id/statistical-geography/S08000020,Grampian,"","","","","","","","","","",11996
http://statistics.gov.scot/id/statistical-geography/S08000031,Greater Glasgow and Clyde,"","","","","","","","","","",35134
http://statistics.gov.scot/id/statistical-geography/S08000022,Highland,"","","","","","","","","","",9957
http://statistics.gov.scot/id/statistical-geography/S08000032,Lanarkshire,"","","","","","","","","","",17416
http://statistics.gov.scot/id/statistical-geography/S08000024,Lothian,"","","","","","","","","","",25047
http://statistics.gov.scot/id/statistical-geography/S08000025,Orkney,"","","","","","","","","","",573
http://statistics.gov.scot/id/statistical-geography/S08000026,Shetland,"","","","","","","","","","",590
http://statistics.gov.scot/id/statistical-geography/S08000030,Tayside,"","","","","","","","","","",5310
http://statistics.gov.scot/id/statistical-geography/S08000028,Western Isles,"","","","","","","","","","",593
http://statistics.gov.scot/id/statistical-geography/S13002537,Abbey,286,350,343,288,"","","","","","",212
http://statistics.gov.scot/id/statistical-geography/S13002503,"Aboyne, Upper Deeside and Donside",227,290,183,180,"","","","","","",265
http://statistics.gov.scot/id/statistical-geography/S13002715,"Abronhill, Kildrum and the Village",334,439,444,556,"","","","","","",371
http://statistics.gov.scot/id/statistical-geography/S13002674,Aird and Loch Ness,182,246,299,330,"","","","","","",375
http://statistics.gov.scot/id/statistical-geography/S13002719,Airdrie Central,424,432,512,403,"","","","","","",518
http://statistics.gov.scot/id/statistical-geography/S13002718,Airdrie North,401,543,665,473,"","","","","","",641
http://statistics.gov.scot/id/statistical-geography/S13002722,Airdrie South,419,470,498,470,"","","","","","",562
http://statistics.gov.scot/id/statistical-geography/S13002486,Airyhall / Broomhill / Garthdee,312,268,244,322,"","","","","","",359
http://statistics.gov.scot/id/statistical-geography/S13002583,Almond,846,680,758,922,"","","","","","",1024
http://statistics.gov.scot/id/statistical-geography/S13002746,Almond and Earn,243,266,233,221,"","","","","","",148
http://statistics.gov.scot/id/statistical-geography/S13002608,An Taobh Siar agus Nis,56,61,103,84,"","","","","","",76
http://statistics.gov.scot/id/statistical-geography/S13002650,Anderston / City,476,359,455,497,"","","","","","",355
http://statistics.gov.scot/id/statistical-geography/S13002544,Annandale East and Eskdale,168,105,128,98,"","","","","","",133
http://statistics.gov.scot/id/statistical-geography/S13002543,Annandale North,373,350,359,419,"","","","","","",247
http://statistics.gov.scot/id/statistical-geography/S13002542,Annandale South,394,319,306,319,"","","","","","",212
http://statistics.gov.scot/id/statistical-geography/S13002553,Annick,360,372,358,474,"","","","","","",503
http://statistics.gov.scot/id/statistical-geography/S13002514,Arbroath East and Lunan,357,412,318,406,"","","","","","",192
http://statistics.gov.scot/id/statistical-geography/S13002513,Arbroath West and Letham,343,282,283,401,"","","","","","",205
http://statistics.gov.scot/id/statistical-geography/S13002708,Ardrossan and Arran,342,539,539,472,"","","","","","",510
http://statistics.gov.scot/id/statistical-geography/S13002828,Armadale and Blackridge,265,274,246,286,"","","","","","",310
http://statistics.gov.scot/id/statistical-geography/S13002791,Avondale and Stonehouse,375,537,567,490,"","","","","","",323
http://statistics.gov.scot/id/statistical-geography/S13002782,Ayr East,700,604,625,601,"","","","","","",548
http://statistics.gov.scot/id/statistical-geography/S13002781,Ayr North,616,716,639,595,"","","","","","",512
http://statistics.gov.scot/id/statistical-geography/S13002783,Ayr West,723,663,799,782,"","","","","","",698
http://statistics.gov.scot/id/statistical-geography/S13002682,Badenoch and Strathspey,244,299,294,377,"","","","","","",382
http://statistics.gov.scot/id/statistical-geography/S13002660,Baillieston,763,817,1080,1022,"","","","","","",1003
http://statistics.gov.scot/id/statistical-geography/S13002559,Ballochmyle,446,413,497,509,"","","","","","",450
http://statistics.gov.scot/id/statistical-geography/S13002504,Banchory and Mid Deeside,175,155,132,110,"","","","","","",215
http://statistics.gov.scot/id/statistical-geography/S13002489,Banff and District,220,245,194,212,"","","","","","",342
http://statistics.gov.scot/id/statistical-geography/S13002813,Bannockburn,166,177,132,122,"","","","","","",176
http://statistics.gov.scot/id/statistical-geography/S13002600,"Barraigh, Bhatarsaigh, Eirisgeigh agus Uibhist a Deas",85,76,54,63,"","","","","","",122
http://statistics.gov.scot/id/statistical-geography/S13002578,Barrhead,484,485,419,496,"","","","","","",696
http://statistics.gov.scot/id/statistical-geography/S13002827,Bathgate,344,341,499,541,"","","","","","",307
http://statistics.gov.scot/id/statistical-geography/S13002563,Bearsden North,433,509,519,538,"","","","","","",467
http://statistics.gov.scot/id/statistical-geography/S13002564,Bearsden South,382,411,508,414,"","","","","","",559
http://statistics.gov.scot/id/statistical-geography/S13002601,Beinn na Foghla agus Uibhist a Tuath,45,42,64,115,"","","","","","",64
http://statistics.gov.scot/id/statistical-geography/S13002725,Bellshill,336,347,370,407,"","","","","","",354
http://statistics.gov.scot/id/statistical-geography/S13002566,Bishopbriggs North and Torrance,498,477,575,517,"","","","","","",646
http://statistics.gov.scot/id/statistical-geography/S13002833,Bishopbriggs South,340,323,436,527,"","","","","","",445
http://statistics.gov.scot/id/statistical-geography/S13002759,"Bishopton, Bridge of Weir & Langbank",288,240,321,384,"","","","","","",338
http://statistics.gov.scot/id/statistical-geography/S13002671,Black Isle,181,178,190,244,"","","","","","",327
http://statistics.gov.scot/id/statistical-geography/S13002740,Blairgowrie and Glens,291,275,209,205,"","","","","","",185
http://statistics.gov.scot/id/statistical-geography/S13002801,Blantyre,434,443,526,490,"","","","","","",329
http://statistics.gov.scot/id/statistical-geography/S13002609,Bo'ness and Blackness,374,300,271,241,"","","","","","",205
http://statistics.gov.scot/id/statistical-geography/S13002613,Bonnybridge and Larbert,204,250,283,207,"","","","","","",164
http://statistics.gov.scot/id/statistical-geography/S13002691,Bonnyrigg,368,446,343,478,"","","","","","",550
http://statistics.gov.scot/id/statistical-geography/S13002802,Bothwell and Uddingston,395,486,372,432,"","","","","","",368
http://statistics.gov.scot/id/statistical-geography/S13002509,Brechin and Edzell,295,160,226,265,"","","","","","",119
http://statistics.gov.scot/id/statistical-geography/S13002477,Bridge of Don,251,228,253,253,"","","","","","",309
http://statistics.gov.scot/id/statistical-geography/S13002821,"Broxburn, Uphall and Winchburgh",662,606,476,434,"","","","","","",410
http://statistics.gov.scot/id/statistical-geography/S13002640,"Buckhaven, Methil and Wemyss Villages",424,561,512,432,"","","","","","",677
http://statistics.gov.scot/id/statistical-geography/S13002698,Buckie,162,179,182,222,"","","","","","",209
http://statistics.gov.scot/id/statistical-geography/S13002627,"Burntisland, Kinghorn and Western Kirkcaldy",263,387,548,600,"","","","","","",453
http://statistics.gov.scot/id/statistical-geography/S13002582,"Busby, Clarkston and Eaglesham",320,406,310,439,"","","","","","",381
http://statistics.gov.scot/id/statistical-geography/S13002649,Calton,538,728,560,523,"","","","","","",711
http://statistics.gov.scot/id/statistical-geography/S13002800,Cambuslang East,320,299,399,366,"","","","","","",471
http://statistics.gov.scot/id/statistical-geography/S13002799,Cambuslang West,444,461,478,455,"","","","","","",479
http://statistics.gov.scot/id/statistical-geography/S13002565,Campsie and Kirkintilloch North,270,327,383,290,"","","","","","",418
http://statistics.gov.scot/id/statistical-geography/S13002656,Canal,916,814,760,897,"","","","","","",921
http://statistics.gov.scot/id/statistical-geography/S13002673,Caol and Mallaig,200,154,177,249,"","","","","","",285
http://statistics.gov.scot/id/statistical-geography/S13002512,Carnoustie and District,274,290,320,261,"","","","","","",144
http://statistics.gov.scot/id/statistical-geography/S13002738,Carse of Gowrie,242,166,200,181,"","","","","","",97
http://statistics.gov.scot/id/statistical-geography/S13002612,"Carse, Kinnaird and Tryst",307,308,368,325,"","","","","","",248
http://statistics.gov.scot/id/statistical-geography/S13002810,Castle,139,133,158,141,"","","","","","",116
http://statistics.gov.scot/id/statistical-geography/S13002536,Castle Douglas and Glenkens,276,221,262,229,"","","","","","",130
http://statistics.gov.scot/id/statistical-geography/S13002492,Central Buchan,199,202,239,136,"","","","","","",267
http://statistics.gov.scot/id/statistical-geography/S13002593,City Centre,340,426,322,318,"","","","","","",671
http://statistics.gov.scot/id/statistical-geography/S13002529,Clackmannanshire Central,132,120,175,99,"","","","","","",151
http://statistics.gov.scot/id/statistical-geography/S13002531,Clackmannanshire East,144,120,224,196,"","","","","","",127
http://statistics.gov.scot/id/statistical-geography/S13002528,Clackmannanshire North,191,228,267,228,"","","","","","",138
http://statistics.gov.scot/id/statistical-geography/S13002530,Clackmannanshire South,169,168,168,261,"","","","","","",103
http://statistics.gov.scot/id/statistical-geography/S13002527,Clackmannanshire West,216,139,164,187,"","","","","","",212
http://statistics.gov.scot/id/statistical-geography/S13002818,Clydebank Central,601,671,631,649,"","","","","","",582
http://statistics.gov.scot/id/statistical-geography/S13002819,Clydebank Waterfront,410,508,397,454,"","","","","","",533
http://statistics.gov.scot/id/statistical-geography/S13002789,Clydesdale East,289,298,304,338,"","","","","","",418
http://statistics.gov.scot/id/statistical-geography/S13002788,Clydesdale North,490,507,428,392,"","","","","","",548
http://statistics.gov.scot/id/statistical-geography/S13002790,Clydesdale South,345,381,291,280,"","","","","","",372
http://statistics.gov.scot/id/statistical-geography/S13002787,Clydesdale West,335,475,487,555,"","","","","","",759
http://statistics.gov.scot/id/statistical-geography/S13002717,Coatbridge North and Glenboig,541,545,563,619,"","","","","","",685
http://statistics.gov.scot/id/statistical-geography/S13002721,Coatbridge South,267,363,476,359,"","","","","","",412
http://statistics.gov.scot/id/statistical-geography/S13002720,Coatbridge West,359,413,448,468,"","","","","","",479
http://statistics.gov.scot/id/statistical-geography/S13002548,Coldside,451,502,511,394,"","","","","","",260
http://statistics.gov.scot/id/statistical-geography/S13002590,Colinton / Fairmilehead,589,834,1037,857,"","","","","","",882
http://statistics.gov.scot/id/statistical-geography/S13002588,Corstorphine / Murrayfield,656,575,733,770,"","","","","","",1038
http://statistics.gov.scot/id/statistical-geography/S13002521,Cowal,313,227,256,257,"","","","","","",384
http://statistics.gov.scot/id/statistical-geography/S13002625,Cowdenbeath,441,385,317,502,"","","","","","",525
http://statistics.gov.scot/id/statistical-geography/S13002596,Craigentinny / Duddingston,729,637,881,854,"","","","","","",828
http://statistics.gov.scot/id/statistical-geography/S13002644,Craigton,883,909,859,669,"","","","","","",960
http://statistics.gov.scot/id/statistical-geography/S13002668,Cromarty Firth,158,281,208,280,"","","","","","",345
http://statistics.gov.scot/id/statistical-geography/S13002679,Culloden and Ardersier,253,245,175,211,"","","","","","",385
http://statistics.gov.scot/id/statistical-geography/S13002713,Cumbernauld North,332,221,382,480,"","","","","","",456
http://statistics.gov.scot/id/statistical-geography/S13002714,Cumbernauld South,566,567,546,602,"","","","","","",514
http://statistics.gov.scot/id/statistical-geography/S13002560,Cumnock and New Cumnock,462,467,475,670,"","","","","","",502
http://statistics.gov.scot/id/statistical-geography/S13002638,Cupar,290,303,359,353,"","","","","","",270
http://statistics.gov.scot/id/statistical-geography/S13002692,Dalkeith,297,240,379,409,"","","","","","",330
http://statistics.gov.scot/id/statistical-geography/S13002709,Dalry and West Kilbride,338,392,526,371,"","","","","","",569
