FeatureCode,DateCode,Measurement,Units,Value,Type Of Tenure,Household Type,Age,Gender,Limiting Long-term Physical or Mental Health Condition
S14000021,2016-2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.94,All,All,All,All,All
S08000031,2016,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.15,All,Adults,All,All,All
S16000109,2016-2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.57,All,All,All,All,All
S13002572,2014-2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.52,All,All,All,All,All
S13002718,2014-2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.53,All,All,All,All,All
S13002781,2014-2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.22,All,All,All,All,All
S12000005,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.94,All,All,16-64 years,All,All
S12000014,2016-2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.41,All,All,All,All,All
S13002714,2014-2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.99,All,All,All,All,All
S12000006,2016-2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.63,All,All,All,All,All
S08000031,2016,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,23.46,Rented,All,All,All,All
S12000050,2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.94,All,All,All,Female,All
S13002717,2014-2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.96,All,All,All,All,All
S14000046,2016-2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.68,All,All,All,All,All
S13002715,2014-2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.93,All,All,All,All,All
S14000038,2016-2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.26,All,All,All,All,All
S12000027,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.91,All,All,35-64 years,All,All
S12000014,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.38,All,All,16-34 years,All,All
S08000032,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.68,Owned Mortgage/Loan,All,All,All,All
S12000030,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.23,Owned Mortgage/Loan,All,All,All,All
S08000022,2014,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.39,All,All,All,Female,All
S08000025,2014,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,25.46,All,All,All,Male,All
S13002775,2014-2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.14,All,All,All,All,All
S12000045,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,22.86,Rented,All,All,All,All
S12000030,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.52,All,Pensioners,All,All,All
S12000005,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,22.79,All,All,35-64 years,All,All
S13002675,2014-2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.64,All,All,All,All,All
S13002672,2014-2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,26.1,All,All,All,All,All
S12000030,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.19,All,Adults,All,All,All
S16000112,2016-2017,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,24.54,All,All,All,All,All
S12000050,2015,"Upper 95% Confidence Limit, Mean",SWEMWBS Score,25.29,All,All,All,All,All
S12000042,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.14,All,Pensioners,All,All,All
S12000039,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.19,Rented,All,All,All,All
S12000041,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.19,Rented,All,All,All,All
S14000024,2016-2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.91,All,All,All,All,All
S12000035,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.65,All,Pensioners,All,All,All
S12000034,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.11,Owned Mortgage/Loan,All,All,All,All
S12000040,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.31,All,Pensioners,All,All,All
S12000011,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,22.94,All,All,16-34 years,All,All
S12000036,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.33,Owned Mortgage/Loan,All,All,All,All
S12000011,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.77,All,All,35-64 years,All,All
S13002780,2014-2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.82,All,All,All,All,All
S13002784,2014-2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.58,All,All,All,All,All
S12000035,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.29,All,With Children,All,All,All
S12000040,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.73,All,With Children,All,All,All
S12000034,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.95,All,With Children,All,All,All
S12000019,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.54,All,All,16-34 years,All,All
S08000015,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.59,All,All,All,Male,All
S13002779,2014-2017,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.36,All,All,All,All,All
S12000034,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,24.16,Rented,All,All,All,All
S12000010,2016,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,22.18,All,All,16-34 years,All,All
S12000045,2015,"Lower 95% Confidence Limit, Mean",SWEMWBS Score,23.99,Owned Outright,All,All,All,All
